DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD	DATE_TIME
2023.09.11	17:06:00	1.07426	1.07428	1.07421	1.07428	89	0	16	2023.09.11 17:06:00
2023.09.11	17:07:00	1.07428	1.07455	1.07427	1.07453	165	0	16	2023.09.11 17:07:00
2023.09.11	17:08:00	1.07454	1.07503	1.0745	1.075	167	0	16	2023.09.11 17:08:00
2023.09.11	17:09:00	1.07501	1.07507	1.07466	1.07475	227	0	16	2023.09.11 17:09:00
2023.09.11	17:10:00	1.07474	1.07491	1.07467	1.07477	192	0	16	2023.09.11 17:10:00
2023.09.11	17:11:00	1.07477	1.07479	1.07455	1.07456	181	0	16	2023.09.11 17:11:00
2023.09.11	17:12:00	1.07456	1.0746	1.07439	1.0745	178	0	16	2023.09.11 17:12:00
2023.09.11	17:13:00	1.0745	1.07471	1.07439	1.07471	191	0	16	2023.09.11 17:13:00
2023.09.11	17:14:00	1.07471	1.07489	1.0747	1.07487	153	0	16	2023.09.11 17:14:00
2023.09.11	17:15:00	1.07486	1.07496	1.07482	1.07492	123	0	16	2023.09.11 17:15:00
2023.09.11	17:16:00	1.07493	1.07505	1.07486	1.07491	124	0	16	2023.09.11 17:16:00
2023.09.11	17:17:00	1.0749	1.07497	1.07473	1.07473	107	0	16	2023.09.11 17:17:00
2023.09.11	17:18:00	1.07473	1.07505	1.07473	1.07496	98	0	16	2023.09.11 17:18:00
2023.09.11	17:19:00	1.07496	1.07501	1.07486	1.07486	186	0	16	2023.09.11 17:19:00
2023.09.11	17:20:00	1.07486	1.07498	1.07485	1.07486	138	0	16	2023.09.11 17:20:00
2023.09.11	17:21:00	1.07486	1.07509	1.07486	1.07496	143	0	16	2023.09.11 17:21:00
2023.09.11	17:22:00	1.07496	1.07574	1.07494	1.07567	599	0	16	2023.09.11 17:22:00
2023.09.11	17:23:00	1.07567	1.07586	1.07551	1.07562	248	0	16	2023.09.11 17:23:00
2023.09.11	17:24:00	1.07561	1.07569	1.07547	1.07558	162	0	16	2023.09.11 17:24:00
2023.09.11	17:25:00	1.07558	1.07565	1.07526	1.07536	201	0	16	2023.09.11 17:25:00
2023.09.11	17:26:00	1.07536	1.07547	1.07525	1.07537	297	0	16	2023.09.11 17:26:00
2023.09.11	17:27:00	1.07537	1.07553	1.07529	1.0754	169	0	16	2023.09.11 17:27:00
2023.09.11	17:28:00	1.0754	1.0755	1.07524	1.07528	163	0	16	2023.09.11 17:28:00
2023.09.11	17:29:00	1.07528	1.07543	1.0752	1.07522	132	0	16	2023.09.11 17:29:00
2023.09.11	17:30:00	1.07522	1.07524	1.07505	1.07511	219	0	16	2023.09.11 17:30:00
2023.09.11	17:31:00	1.07511	1.07518	1.07505	1.07509	155	0	16	2023.09.11 17:31:00
2023.09.11	17:32:00	1.0751	1.07511	1.07489	1.07497	208	0	16	2023.09.11 17:32:00
2023.09.11	17:33:00	1.07497	1.075	1.07481	1.07485	136	0	16	2023.09.11 17:33:00
2023.09.11	17:34:00	1.07484	1.07485	1.07461	1.07467	143	0	16	2023.09.11 17:34:00
2023.09.11	17:35:00	1.07467	1.07489	1.07463	1.07489	105	0	16	2023.09.11 17:35:00
2023.09.11	17:36:00	1.07489	1.0749	1.07467	1.07468	121	0	16	2023.09.11 17:36:00
2023.09.11	17:37:00	1.07468	1.07472	1.07462	1.0747	182	0	16	2023.09.11 17:37:00
2023.09.11	17:38:00	1.0747	1.07475	1.07457	1.07473	149	0	16	2023.09.11 17:38:00
2023.09.11	17:39:00	1.07473	1.07486	1.07466	1.07481	122	0	16	2023.09.11 17:39:00
2023.09.11	17:40:00	1.0748	1.07499	1.07477	1.07496	143	0	16	2023.09.11 17:40:00
2023.09.11	17:41:00	1.07496	1.07516	1.07493	1.07513	159	0	16	2023.09.11 17:41:00
2023.09.11	17:42:00	1.07512	1.07527	1.07511	1.07516	93	0	16	2023.09.11 17:42:00
2023.09.11	17:43:00	1.07516	1.07523	1.07514	1.07515	72	0	14	2023.09.11 17:43:00
2023.09.11	17:44:00	1.07515	1.07539	1.07515	1.07533	105	0	16	2023.09.11 17:44:00
2023.09.11	17:45:00	1.07533	1.0755	1.0753	1.07547	110	0	16	2023.09.11 17:45:00
2023.09.11	17:46:00	1.07548	1.07548	1.07532	1.07533	126	0	16	2023.09.11 17:46:00
2023.09.11	17:47:00	1.07532	1.07548	1.07528	1.07544	101	0	16	2023.09.11 17:47:00
2023.09.11	17:48:00	1.07544	1.07546	1.07522	1.07529	132	0	16	2023.09.11 17:48:00
2023.09.11	17:49:00	1.07529	1.07539	1.07524	1.07539	114	0	16	2023.09.11 17:49:00
2023.09.11	17:50:00	1.07539	1.07546	1.07519	1.07545	209	0	16	2023.09.11 17:50:00
2023.09.11	17:51:00	1.07545	1.07548	1.07536	1.07541	79	0	16	2023.09.11 17:51:00
2023.09.11	17:52:00	1.0754	1.0754	1.075	1.07501	174	0	16	2023.09.11 17:52:00
2023.09.11	17:53:00	1.07501	1.07501	1.07451	1.07461	281	0	16	2023.09.11 17:53:00
2023.09.11	17:54:00	1.07461	1.07465	1.07444	1.07463	175	0	16	2023.09.11 17:54:00
2023.09.11	17:55:00	1.07462	1.07462	1.07442	1.0745	158	0	16	2023.09.11 17:55:00
2023.09.11	17:56:00	1.07449	1.07468	1.07445	1.07459	186	0	16	2023.09.11 17:56:00
2023.09.11	17:57:00	1.0746	1.07465	1.07443	1.0745	182	0	16	2023.09.11 17:57:00
2023.09.11	17:58:00	1.07449	1.07454	1.07444	1.07452	174	0	16	2023.09.11 17:58:00
2023.09.11	17:59:00	1.07451	1.07452	1.07441	1.07448	203	0	16	2023.09.11 17:59:00
2023.09.11	18:00:00	1.07448	1.07464	1.07436	1.07439	216	0	16	2023.09.11 18:00:00
2023.09.11	18:01:00	1.07439	1.0745	1.07424	1.07445	188	0	16	2023.09.11 18:01:00
2023.09.11	18:02:00	1.07445	1.07466	1.07443	1.07453	156	0	16	2023.09.11 18:02:00
2023.09.11	18:03:00	1.07453	1.07459	1.07429	1.07455	211	0	16	2023.09.11 18:03:00
